STATE	DOMAIN	AGE	HOMEOWNR	NUMCHLD	INCOME	GENDER	WEALTH1	HIT	MBCRAFT	MBGARDEN	MBBOOKS	MBCOLECT	MAGFAML	MAGFEM	MAGMALE	PUBGARDN	PUBCULIN	PUBHLTH	PUBDOITY	PUBNEWFN	PUBPHOTO	PUBOPP	MAJOR	PEPSTRFL	NUMPRM12	NGIFTALL	TARGET_B
CA	C1	42.0	H		6	F	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	9.0	4.0	1
MI	C2	35.0	H	1.0	3	F	7	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	 	 	8.0	1.0	0
AR	T2		 			M		0.0															 	 	10.0	2.0	0
OR	T3		H		5	F	1	7.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	10.0	1.0	1
AR	R2	28.0	U		2	F	4	0.0															 	 	11.0	1.0	0
IL	T2	68.0	 		2	F	6	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	 	X	11.0	17.0	1
OR	R2		U		1	M		0.0															 	 	12.0	5.0	0
CO	C3	66.0	H		1	M	0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	19.0	5.0	0
MS	T2	43.0	H		2	F	7	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	 	13.0	7.0	1
CA	R2	40.0	H		2	M		0.0															 	X	15.0	10.0	1
IN	T1	50.0	H		5	M	9	0.0															 	 	10.0	3.0	0
MS	R2	66.0	H		7	M		0.0															 	 	10.0	3.0	0
TX	S1	48.0	H		5	F	8	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	9.0	4.0	0
CA	S1	32.0	H	1.0	6	M		0.0															 	 	11.0	3.0	0
CA	C2		H	1.0	4	F	3	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	11.0	5.0	0
NC	R2	48.0	H		7	F		0.0															 	X	13.0	16.0	0
KY	S2	57.0	H		3	F	8	34.0	1.0	0.0	7.0	1.0	3.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	3.0	 	 	13.0	7.0	0
FL	R3	78.0	 		1	F	0	11.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	 	 	22.0	13.0	0
KY	S2	37.0	H	1.0	7	M	8	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	 	X	14.0	9.0	0
CA	C3	74.0	U		1	M		0.0															 	X	14.0	15.0	0
KS	R2		H		2	M		0.0															 	 	10.0	2.0	0
NE	R2		U		1	F		0.0															 	X	29.0	6.0	1
TX	T3		U		1	F		0.0															 	 	8.0	1.0	0
KY	R2		H		3	F		0.0															 	 	5.0	1.0	0
TX	S1	43.0	H	1.0	6	M	8	10.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	 	 	13.0	3.0	0
IA	C3	92.0	H		2	M	0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	6.0	0
FL	C3		 			F		0.0															 	 	13.0	4.0	0
TX	S1	82.0	H		4	M	8	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	5.0	2.0	0
OR	R2		 			F		0.0															 	 	10.0	7.0	0
CA	C1	94.0	 			F		0.0															 	X	24.0	19.0	0
MN	C1	64.0	H		5	F	7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	11.0	0
AZ	U3		H	3.0	3	F	1	0.0															 	 	11.0	1.0	0
MN	R3	55.0	H	2.0	4	M	0	20.0	1.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	 	 	12.0	11.0	0
CA	S2		 			F		0.0															 	 	7.0	1.0	1
IA	R3		 			M		0.0															 	 	12.0	3.0	0
TX	R2	63.0	 			F		0.0															 	 	7.0	5.0	1
NC	C1	65.0	U		4	F	8	6.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	16.0	4.0	1
MN	R2	81.0	U		2	F	2	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	X	13.0	19.0	0
CA	U1	58.0	H		2	M	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	5.0	0
MO	S2	55.0	H		7	M	7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	4.0	0
FL	T3	69.0	H		5	M	2	7.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	 	 	13.0	2.0	0
WA	R2		 			M		0.0															 	X	12.0	49.0	0
WI	R2	55.0	H		3	F	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	11.0	7.0	0
AL	T3		U		3	M	7	0.0															 	 	9.0	1.0	0
IA	T3	45.0	H		3	M	0	43.0	2.0	2.0	8.0	0.0	3.0	0.0	1.0	3.0	1.0	3.0	5.0	2.0	0.0	0.0	 	X	12.0	24.0	0
CA	S1	40.0	H		7	M		0.0															 	 	8.0	1.0	0
AL	C1	78.0	H		3	F	8	18.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	 	X	9.0	17.0	0
KS	R2		 			F		0.0															 	X	15.0	15.0	1
FL	S2	61.0	U		3	M	3	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	 	 	13.0	2.0	0
TN	C3		 			F		0.0															 	X	12.0	5.0	1
CA	 		U		2	M	4	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	23.0	15.0	0
CO	C2	40.0	H		3	M	1	11.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	 	 	13.0	8.0	0
GA	R2		 			F		0.0															 	 	12.0	3.0	0
WA	T1	56.0	 			M		0.0															 	 	10.0	4.0	0
GA	T1		H		5	M	8	0.0															 	X	13.0	18.0	0
NC	C2		U		7	M		0.0															 	 	10.0	1.0	0
FL	S2	83.0	H		2	M	2	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	11.0	12.0	0
WI	S2	53.0	U		3	M	6	18.0	1.0	1.0	4.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.0	0.0	0.0	0.0	 	X	13.0	17.0	0
WI	R2	48.0	H	3.0	4	M		0.0															 	X	14.0	9.0	0
CA	U1	36.0	 			 		0.0															 	 	10.0	4.0	0
CA	U1	47.0	H	2.0	6	F	1	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	11.0	4.0	0
WI	U2	73.0	H	1.0	4	F	5	5.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	24.0	0
AZ	R1	76.0	H		7	F		0.0															 	X	24.0	19.0	0
CO	T1	78.0	H		2	F		0.0															 	X	11.0	9.0	1
IL	S2	32.0	U		5	M		0.0															 	 	14.0	4.0	0
FL	C1	82.0	H		2	M	6	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	27.0	13.0	0
CA	U2		H		5	F	5	0.0															 	 	12.0	3.0	0
TX	U1	28.0	U		6	F	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	26.0	1
AL	R2	76.0	 			M		0.0															 	 	11.0	4.0	0
NC	R1	82.0	U		3	F		0.0															 	 	14.0	3.0	0
MS	R2	52.0	H		7	M		0.0															 	X	14.0	11.0	0
MS	T3	60.0	H	1.0	4	F	1	9.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	 	X	8.0	14.0	0
CA	U2	89.0	H		6	F	6	10.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	27.0	22.0	0
IN	C1	69.0	H		6	F		0.0															 	X	12.0	63.0	1
IL	U4	72.0	H		1	F	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	5.0	15.0	1
CO	T1	46.0	H		7	M	7	13.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	 	 	12.0	4.0	0
CA	 	55.0	H	1.0	6	F	9	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	7.0	1
TX	S1		H		6	M	8	0.0															 	X	20.0	13.0	0
TX	T1	51.0	U		4	F	7	0.0															 	 	12.0	6.0	0
MT	C2	73.0	H		1	F		0.0															 	 	13.0	6.0	0
MN	U1	82.0	H		5	M	7	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	18.0	0
OK	T1		 			M		0.0															 	X	6.0	6.0	1
WA	S1	60.0	H		4	F	7	33.0	0.0	0.0	6.0	1.0	2.0	1.0	0.0	4.0	2.0	3.0	3.0	0.0	0.0	0.0	 	X	11.0	10.0	0
MO	T1	49.0	 		7	F	8	5.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	37.0	1
CA	C2	74.0	H		4	F		0.0															 	 	8.0	1.0	0
CA	R2		H		4	F		0.0															 	 	13.0	3.0	0
GA	S1	86.0	H		5	M	8	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	31.0	0
TX	S1	69.0	H		5	M	7	18.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	 	 	12.0	2.0	0
CA	S2	59.0	H		4	F	5	26.0	1.0	0.0	9.0	0.0	0.0	0.0	1.0	2.0	1.0	5.0	2.0	2.0	0.0	0.0	 	X	11.0	11.0	0
CA	T3	50.0	H		6	F		0.0															 	X	12.0	4.0	0
CA	S1		U		5	F	8	0.0															 	 	13.0	5.0	1
IA	R2	34.0	H	1.0	4	F	2	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	9.0	0
FL	U3	90.0	U		1	M	4	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	8.0	1.0	0
OK	C1	74.0	U		2	F	3	0.0															 	 	11.0	2.0	0
FL	S1	68.0	H		4	F		0.0															 	X	15.0	8.0	0
CA	U1	92.0	 			M		0.0															 	X	22.0	75.0	0
NV	T2	76.0	H		3	F		0.0															 	X	7.0	25.0	0
MO	R2	54.0	H	2.0	2	M		0.0															 	X	14.0	11.0	1
GA	R2	60.0	 			F		0.0															 	X	13.0	17.0	0
CA	C1		H		5	F	8	9.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	 	X	13.0	6.0	0
CA	C1	52.0	U		4	F	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	4.0	0
MS	R2	62.0	H	1.0	5	M	6	0.0															 	 	11.0	5.0	0
NM	C2	37.0	H	3.0	4	M	5	5.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	19.0	0
FL	T2	73.0	H		4	M	3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	24.0	13.0	1
FL	T1	59.0	H	1.0	4	F	9	14.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	3.0	 	X	13.0	18.0	0
MO	S2	39.0	H	2.0	3	F	8	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	4.0	1
WA	S2	42.0	 			F		0.0															 	X	13.0	29.0	0
CA	U1		 			F		0.0															 	 	11.0	1.0	0
TX	C1	78.0	H		7	M	9	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	10.0	1.0	1
IL	S2	49.0	H	1.0	5	M	8	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	5.0	0
MI	S2	79.0	H	1.0	2	M	8	11.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	 	X	13.0	22.0	0
CA	U2	83.0	H		5	M	3	26.0	0.0	0.0	9.0	0.0	1.0	0.0	0.0	1.0	1.0	5.0	0.0	2.0	0.0	0.0	 	X	31.0	35.0	0
TX	C2		 			M		0.0															 	X	16.0	5.0	0
FL	C2		 			 		0.0															 	 	13.0	9.0	1
MI	C3	73.0	H		1	M		0.0															 	X	13.0	14.0	0
TX	R2	59.0	H		5	M	6	8.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	11.0	6.0	0
GA	S2	52.0	H	1.0	5	M	6	0.0															 	 	13.0	7.0	0
CA	U4	38.0	U		1	M		0.0															 	 	10.0	2.0	0
CA	C2		H		3	M	2	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	 	 	11.0	1.0	0
IL	S1	71.0	H		1	M	8	23.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	5.0	0.0	0.0	0.0	 	X	9.0	28.0	0
IN	C3	48.0	H	1.0	3	F	1	16.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	1.0	 	 	13.0	7.0	0
WA	C1		 			F		0.0															 	X	7.0	21.0	0
MS	R3	86.0	H		1	M		0.0															 	X	12.0	26.0	0
MI	S1	79.0	H		4	M	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	12.0	0
FL	S1	71.0	H		3	F	8	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	13.0	8.0	0
CA	U2	76.0	H		4	M		0.0															 	 	9.0	5.0	0
WA	S3		H		5	M		0.0															 	 	9.0	1.0	0
CA	U1	37.0	H		7	F	8	5.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	 	X	10.0	10.0	0
OK	S2	70.0	H		7	F	6	21.0	0.0	0.0	5.0	2.0	2.0	1.0	0.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	X	 	32.0	6.0	0
WA	C2	42.0	 			M		0.0															 	X	14.0	6.0	0
CO	S2		 			 		0.0															 	 	14.0	2.0	0
CA	R2	61.0	H		3	F	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	5.0	0
NE	S3	71.0	H		1	F	4	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	 	X	13.0	18.0	0
IA	C1	37.0	H		7	F	9	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	 	 	13.0	3.0	0
AZ	C2		 			F		0.0															 	X	13.0	7.0	1
MO	U3	52.0	 			F		0.0															 	 	12.0	5.0	0
WA	C3	48.0	H	1.0	2	F	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	8.0	0
IN	S3	52.0	H		4	F	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	16.0	6.0	0
IL	R2		U		2	M	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	11.0	10.0	0
NV	S1		 			F		0.0															 	X	13.0	26.0	0
CA	U2		 			M		0.0															 	 	7.0	1.0	0
MO	S1		U		2	M	7	0.0															 	 	10.0	3.0	0
LA	R3	48.0	H		3	F		0.0															 	 	10.0	3.0	0
NC	C1	75.0	H		7	M	9	13.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	 	X	13.0	11.0	1
FL	C2		 			F		0.0															 	X	14.0	17.0	0
FL	R3	54.0	H	1.0	4	F		0.0															 	 	13.0	3.0	0
UT	U1		U		5	M	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	12.0	5.0	0
WI	U1	69.0	H		6	F	9	9.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	 	 	13.0	14.0	0
IL	S1	73.0	H	1.0	3	M	6	13.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	X	13.0	10.0	0
KY	R3	26.0	U		2	F		0.0															 	X	14.0	9.0	0
NC	C3	58.0	H	1.0	2	F	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	10.0	21.0	0
MI	S1	64.0	H		7	M		0.0															 	X	14.0	12.0	0
IL	S1	76.0	H		5	F	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	7.0	0
TX	S2	40.0	H	1.0	4	F	2	5.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	14.0	16.0	0
IN	T2	29.0	U		4	M	6	0.0															 	 	12.0	6.0	0
SC	T2		 			F		0.0															 	 	13.0	13.0	0
NC	C3	54.0	H	2.0	5	M	5	21.0	2.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	 	X	14.0	36.0	0
FL	S2	48.0	H		5	F	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	10.0	2.0	1
MI	R3	91.0	U		1	F		0.0															 	X	13.0	24.0	0
MO	S1	42.0	H	2.0	4	F	9	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	6.0	0
MN	C2	85.0	H		2	M	2	18.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	 	X	11.0	16.0	0
IL	 	88.0	H		3	F		0.0															 	X	32.0	15.0	1
TX	T1	85.0	H		7	F	7	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	14.0	1
TX	U1	52.0	H	3.0	6	F	8	12.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	 	 	14.0	6.0	0
TX	C1	54.0	H		7	F	9	23.0	2.0	0.0	2.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	3.0	 	 	13.0	7.0	0
TX	R2	34.0	U		4	F	7	0.0															 	X	13.0	12.0	0
SC	T2	46.0	H		4	M	8	23.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	9.0	 	 	12.0	10.0	1
NV	 		 		5	F	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	11.0	9.0	0
ID	C2	46.0	H		3	F		0.0															 	 	10.0	3.0	0
NC	R3	46.0	H		1	M		0.0															 	X	13.0	6.0	0
MO	T2		 			M		0.0															 	 	13.0	1.0	0
CO	R1	41.0	H	1.0	7	F		0.0															 	 	13.0	5.0	0
FL	T1	41.0	U		3	F	6	0.0															 	 	23.0	2.0	0
CA	T3		 			M		0.0															 	 	15.0	5.0	0
NC	R2		H		5	M		0.0															 	X	12.0	22.0	1
TX	R2	92.0	U		1	F	6	10.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	 	31.0	14.0	1
IA	C3		 			F		0.0															 	X	7.0	8.0	0
TX	S1	80.0	U		4	F	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	 	 	11.0	1.0	0
FL	C1	76.0	H		5	M	9	16.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	 	 	14.0	10.0	0
MS	T3	70.0	U		2	F		0.0															 	 	15.0	5.0	0
SC	C3	77.0	H		4	F	5	19.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	X	11.0	18.0	1
MO	S2	45.0	H	1.0	5	M	7	6.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	5.0	0
SC	S1	68.0	H		7	M		0.0															 	 	12.0	4.0	0
HI	T3		 			F		0.0															 	X	8.0	42.0	0
MS	T2	87.0	U		2	M		0.0															 	X	7.0	14.0	0
MO	R2	60.0	U		1	F	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	4.0	0
KY	T2	34.0	H	1.0	4	M		0.0															 	 	12.0	1.0	0
CO	C2	86.0	H		2	M	6	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	6.0	1
FL	C2	81.0	H		2	F	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	6.0	0
NE	R3	72.0	 		1	F	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	14.0	5.0	0
MI	C3		 			F		0.0															 	 	11.0	3.0	0
CA	C2		H	1.0	6	M		0.0															 	X	14.0	10.0	1
MN	R2	76.0	 		2	M	0	0.0															 	X	19.0	12.0	1
FL	C3		U		2	U		0.0															 	X	14.0	22.0	0
CO	R2		H	1.0	4	U		0.0															 	X	13.0	15.0	1
IN	C3	53.0	U		1	F	0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	 	12.0	4.0	1
AL	C2	44.0	H		5	F	1	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	9.0	6.0	1
IA	C3	79.0	 			F		0.0															 	 	14.0	8.0	0
SC	R2	91.0	U		1	F		0.0															 	X	13.0	23.0	0
FL	C2	65.0	H		6	F	6	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	9.0	1.0	0
FL	C3	93.0	H		1	M		0.0															 	 	13.0	3.0	0
GA	T1	60.0	H		5	F	9	12.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	 	 	9.0	2.0	0
OR	R2	67.0	H		5	F		0.0															 	X	13.0	18.0	0
NC	T2	48.0	 			M		0.0															 	X	14.0	12.0	0
OR	R2		 			F		0.0															 	X	15.0	11.0	0
CA	S1		 			M		0.0															 	 	6.0	1.0	0
TN	S1		H	1.0	7	F	9	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	X	7.0	23.0	1
TN	S2	79.0	H		5	M	6	18.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	 	X	31.0	15.0	0
TX	T1	86.0	H		5	M	6	18.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	X	24.0	19.0	0
OR	T1	77.0	H		2	F		0.0															 	X	12.0	12.0	0
FL	C3	68.0	H		2	M	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	8.0	17.0	0
MO	T2	56.0	H		5	F		0.0															 	X	14.0	14.0	0
AP	U4		 			F		0.0															 	 	13.0	8.0	0
AL	T1	55.0	H	1.0	7	M	9	17.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	8.0	 	X	20.0	26.0	0
CA	C2	44.0	H		5	M	1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	3.0	1
TX	S1	66.0	U		2	M		0.0															 	X	14.0	13.0	0
FL	S2	54.0	H	2.0	4	M	9	14.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	 	 	10.0	3.0	0
NC	T2		U		1	M	6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	10.0	13.0	1
CA	T2	78.0	H		5	F		0.0															 	 	8.0	1.0	0
IL	S1	38.0	H		5	M	9	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	7.0	0
MI	C2	42.0	H	2.0	5	M		0.0															 	 	13.0	2.0	0
NY	S1		U		5	M	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	1.0	0
IL	R2		 			M		0.0															 	X	11.0	12.0	0
